player_full_name,player_team,opposition_team,margin,round,fantasy_points,fantasy_lag_1,fantasy_lag_2,fantasy_lag_3,fantasy_lag_4,fantasy_lag_5,fantasy_lag_6,fantasy_lag_7,fantasy_lag_8,fantasy_lag_9,fantasy_lag_10,home_game,last_3_avg,last_5_avg,last_7_avg,season_avg,dvp,percentage_over_avg
Angus Brayshaw,Melbourne,Carlton,17,Round 12,89,92,57,81,73,95,80,45,66,74,86,1,76.66666666666667,79.6,74.71428571428571,77,0.17,45.45
Angus Brayshaw,Melbourne,Collingwood,4,Round 13,80,89,92,57,81,73,95,80,45,66,74,1,79.33333333333333,78.4,81,78,2.28,51.61
Angus Brayshaw,Melbourne,Geelong Cats,-15,Round 15,85,80,89,92,57,81,73,95,80,45,66,0,87,79.8,81,78.15384615384616,-0.63,50
Angus Brayshaw,Melbourne,GWS Giants,-2,Round 16,90,85,80,89,92,57,81,73,95,80,45,1,84.66666666666667,80.6,79.57142857142857,78.64285714285714,-0.32,48.65
Angus Brayshaw,Melbourne,St Kilda,21,Round 17,105,90,85,80,89,92,57,81,73,95,80,0,85,87.2,82,79.4,3.21,51.35
Angus Brayshaw,Melbourne,Brisbane Lions,1,Round 18,84,105,90,85,80,89,92,57,81,73,95,1,93.33333333333333,89.8,85.42857142857143,81,-2.6,52.78
Angus Brayshaw,Melbourne,Adelaide Crows,4,Round 19,108,84,105,90,85,80,89,92,57,81,73,1,93,88.8,89.28571428571429,81.17647058823529,-0.87,45.24
Angus Brayshaw,Melbourne,Richmond,32,Round 20,77,108,84,105,90,85,80,89,92,57,81,0,99,94.4,91.57142857142857,82.66666666666667,0.2,41.18
Anthony Caminiti,St Kilda,Brisbane Lions,-28,Round 15,45,34,46,39,44,64,38,46,55,79,29,1,39.666666666666664,45.4,44.42857142857143,47.4,-6.01,44
Anthony Caminiti,St Kilda,West Coast Eagles,8,Round 16,53,45,34,46,39,44,64,38,46,55,79,0,41.666666666666664,41.6,44.285714285714285,47.18181818181818,12.87,62.96
Anthony Caminiti,St Kilda,Melbourne,-21,Round 17,71,53,45,34,46,39,44,64,38,46,55,1,44,43.4,46.42857142857143,47.666666666666664,-3.89,44.83
